mouse	pas_subset	depth	labels	n_cells	n_pas	n_genes	stages	wdi_rho	wdi_p	wdi_mean_Spermatocyte	wdi_sd_Spermatocyte	wdi_mean_RoundSpermatid	wdi_sd_RoundSpermatid	wdi_mean_Elongating	wdi_sd_Elongating	wdi_delta_last_minus_first	wdi_cliffs	wdi_cohens_d	wdi_monotone_down	wul_rho	wul_p	wul_mean_Spermatocyte	wul_sd_Spermatocyte	wul_mean_RoundSpermatid	wul_sd_RoundSpermatid	wul_mean_Elongating	wul_sd_Elongating	wul_delta_last_minus_first	wul_cliffs	wul_cohens_d	wul_monotone_down	wdi_partial_rho_depthadj	wdi_partial_p_depthadj	wdi_null_rho_absmax	wdi_mean_Spermatogonia	wdi_sd_Spermatogonia	wul_mean_Spermatogonia	wul_sd_Spermatogonia
mouse1	noatlas	matched	PASlabels	491	9545	2821	Spermatocyte,RoundSpermatid,Elongating	0.7529576164113626	6.521617802613041e-91	0.5593722114521767	0.0274279148014195	0.609214987719864	0.0203977804215508	0.6290191618321015	0.0254838705680973	0.0696469503799247	0.936873011989234	2.5867731603337605	False	-0.065209368651704	0.1490779031643046	33032.12641697716	10918.946734877032	28869.968683762785	2702.9300548074534	35435.271595280785	5436.204854663226	2403.1451783036173	0.3406736807764456	0.246092530456356	False	0.7533245058157749	1.1052225193856035e-90	0.1155935225487555				
mouse1	noatlas	matched	GEXlabels	475	9545	2821	Spermatocyte,RoundSpermatid,Elongating	0.7303577566566823	2.514405778347381e-80	0.5628158860058629	0.0245902677661946	0.6090538845229791	0.0204630125497418	0.6275683755571625	0.0259518927192866	0.0647524895512997	0.9206827309236948	2.589301308617965	False	-0.0443003487171345	0.3353303334693556	33078.14632197373	11419.736113515655	28876.231050942017	2720.0671974928337	34959.56641970236	5535.624043071453	1881.420097728631	0.2863119143239625	0.1877709162264328	False	0.7325459877163805	1.0641569363408631e-80	0.1004544901560779				
mouse1	utr3	raw	PASlabels	1294	4269	1854	Spermatocyte,RoundSpermatid,Elongating	-0.8285558904711388	0.0	0.5834364074571026	0.0313429599635636	0.5279010957843535	0.0378236880489251	0.4563756337963445	0.0282060384641461	-0.1270607736607579	-0.994971264367816	-4.237560352718135	True	-0.4336917050997832	1.7791970038674782e-60	7913.447011586982	1257.8750725569353	7773.850320705504	990.8137416282076	6475.032110154748	1049.8901448667905	-1438.4149014322356	-0.6388755853554704	-1.2297419153317557	True	-0.825680996625187	6e-323	0.0794117811105546				
mouse1	utr3	raw	GEXlabels	1294	4269	1854	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	-0.8299090217699712	0.0	0.5791547746696861	0.0290723573980423	0.5275971221326576	0.0374783666998225	0.4580522414018336	0.0306990378493977	-0.1504102225678197	-0.9936797752808988	-4.841615154428922	True	-0.4020071117727457	1.9343508757610452e-51	8047.770386836278	1114.7067340227748	7794.827478168858	974.2379177058242	6499.443605912044	1052.9266831545467	-494.4522120698766	-0.2226123595505618	-0.4188564001574679	False	-0.8206158583073979	9.19995687e-316	0.0814348110485664	0.6084624639696533	0.0330585219731446	6993.89581798192	1731.7110453768842
mouse1	utr3	matched	PASlabels	130	4269	1854	Spermatocyte			0.5815089450974456	0.0191233265356295					0.0	0.0	0.0	True			8675.61136138497	742.2988770334704					0.0	0.0	0.0	True	-0.0031892741458221	0.971498729884216					
mouse1	utr3	matched	GEXlabels	125	4269	1854	Spermatocyte			0.5810824829660771	0.0169228477353621					0.0	0.0	0.0	True			8679.015163952867	747.8926105911598					0.0	0.0	0.0	True	-0.0169687715829311	0.8522215395281487					
mouse2	all	raw	PASlabels	1364	22375	6062	Spermatocyte,RoundSpermatid,Elongating	0.5181017245318803	1.5065954021963514e-94	0.6890070022256527	0.0430314961295776	0.7217910623322868	0.0174076120413013	0.7381709183934592	0.0163716160128898	0.0491639161678064	0.7368409890995462	1.4443184879447464	False	0.4608299805242617	1.168587664880934e-72	26895.524080190527	3750.169400271934	28584.82684115414	1619.7833948962923	29672.25188350032	2598.0986653833124	2776.7278033097937	0.657017432243288	0.8424658393695561	False	0.3442955402112414	3.4181303191428016e-39	0.0865416437467672				
mouse2	all	raw	GEXlabels	1364	22375	6062	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.5410602406386084	1.4505716714521004e-104	0.6991028566396161	0.0372208993291257	0.7218865227083445	0.0174041624719138	0.7380676183298432	0.0164314113969529	0.0952865998050387	0.9881701758194052	4.458160533401424	False	0.4528374693859995	6.37729578522476e-70	27424.499356851844	3285.0135796476884	28528.689261138985	1723.857453134743	29650.45074204665	2593.4689621050893	4425.996512905804	0.831235077056653	1.3931134823212366	False	0.3834689845034336	5.999191178081829e-49	0.0682684130442606	0.6427810185248046	0.0347814556215373	25224.454229140847	4864.622797610297
mouse2	all	matched	PASlabels	1318	22375	6062	Spermatocyte,RoundSpermatid,Elongating	0.2528028249400901	1.1533373396852751e-20	0.7211503222207521	0.0473173318639482	0.7525063846171871	0.0175032939416504	0.750366834767314	0.0131670185685151	0.0292165125465618	0.3951665908286565	0.7751519831155326	False	0.3830115086490913	2.6472923112925136e-47	26532.82649068797	3533.62519820111	30374.98051721263	3913.470299713489	30337.21089381785	3012.4245475744638	3804.384403129876	0.6634814702462208	1.1400963043018313	False	0.261496608612256	5.13400377470515e-22	0.0725916996756913				
mouse2	all	matched	GEXlabels	1318	22375	6062	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.2788920149781557	5.673635303444971e-25	0.7359231230693465	0.0346267177301848	0.7523858136274502	0.017801145793866	0.7503593816346656	0.013178891356856	0.0911416693150694	0.9865841073271412	3.9282524591277537	False	0.3701046435967142	4.725248092854576e-44	26734.64629992679	3523.721124043546	30296.46958277301	3967.288130833921	30319.487643938384	3027.062479169677	4273.62082424722	0.6469298245614035	1.3681262412673203	False	0.2880505509947736	1.4606108892812264e-26	0.0797132899930526	0.6592177123195964	0.0421153449409689	26045.866819691168	3430.95371597908
