gene_id	symbol	m1_delta	m2_delta	m1_mono_short	m2_mono_short	category
ENSMUSG00000035984	Nme5	-0.0796298097183052	0.0328125	True	False	discordant
ENSMUSG00000024160	Spsb3	-0.0050134138162306	-0.040670623402504	True	True	shorten in both
ENSMUSG00000024175	Tekt4	0.0002815686096414	-0.0455420702532384	False	False	discordant
ENSMUSG00000039179	Tekt5	-0.018099811245466	-0.0255425148236444	False	True	shorten in both
ENSMUSG00000041560	Nop53	-0.0064218993253762	-0.0371900826446281	False	True	shorten in both
ENSMUSG00000044881	Coa4	-0.0330516658619024	-0.0104347826086956	True	True	shorten in both
ENSMUSG00000040424	Hipk4	-0.0255842776203966	-0.0178571428571429	True	True	shorten in both
ENSMUSG00000046755	Kif2b	-0.1082644628099173	0.0659479409479409	True	False	discordant
ENSMUSG00000037742	Eef1a1	-0.0333212068847911	-0.0080737682322522	True	False	shorten in both
ENSMUSG00000073730	Ppp1r14bl	-0.0323628491771776	-0.0078031212484993	False	True	shorten in both
ENSMUSG00000047260	Emc6	-0.0328010358221838	-0.0070967348927875	False	False	shorten in both
ENSMUSG00000026701	Prdx6	-0.0253075216777576	-0.0138196555217832	False	False	shorten in both
ENSMUSG00000045257	Morn2	-0.0113719828787072	-0.0275350256623664	False	False	shorten in both
ENSMUSG00000055675	Kbtbd11	-0.0207555880429346	-0.0170021453811206	True	True	shorten in both
ENSMUSG00000026592	Tex35	-0.0335297633643943	-0.00407508562015	True	True	shorten in both
ENSMUSG00000024187	Fam234a	0.0213675213675214	-0.0579710144927536	False	True	discordant
ENSMUSG00000025508	Rplp2	-0.0158237998503154	-0.0204778156996587	False	True	shorten in both
ENSMUSG00000036398	Ppp1r11	-0.040245514131279	0.003976143141153	True	False	discordant
ENSMUSG00000022603	Mroh4	-0.0565856370227106	0.0205710955710956	True	False	discordant
ENSMUSG00000037624	Kcnk2	-0.0228452751817237	-0.012737799834574	True	False	shorten in both
ENSMUSG00000022680	Pdxdc1	-0.0142857142857142	-0.0206896551724137	True	True	shorten in both
ENSMUSG00000051154	Commd3	-0.0393700787401575	0.0045454545454546	False	False	discordant
ENSMUSG00000029001	Fbxo44	-0.0165626026947092	-0.0177831622443129	True	True	shorten in both
ENSMUSG00000009013	Dynll1	0.0	-0.0338345864661654	False	True	delta 0 in one mouse
ENSMUSG00000033233	Trim45	-0.0256410256410256	-0.0078740157480314	False	False	shorten in both
ENSMUSG00000078958	Atp6ap1l	0.0360143310149314	-0.0689655172413793	False	True	discordant
ENSMUSG00000028102	Pex11b	-0.0305301095495164	-0.0017964071856287	True	False	shorten in both
ENSMUSG00000030815	Phkg2	-0.0173097866539218	-0.0145749566128838	True	True	shorten in both
ENSMUSG00000037337	Map4k1	0.0128824476650564	-0.0438431134083308	False	False	discordant
ENSMUSG00000103124	Gm37389	-0.0286368864661058	-0.0020248038471273	False	True	shorten in both
ENSMUSG00000031809	1700018B08Rik	-0.018775720164609	-0.0118764845605701	True	True	shorten in both
ENSMUSG00000071074	Yipf3	-0.0388554955839057	0.0082201910353493	False	False	discordant
ENSMUSG00000057240	Ms4a13	-0.0339712918660286	0.003455302749321	True	False	discordant
ENSMUSG00000006024	Napa	-0.0044317822095599	-0.0255879399556126	True	True	shorten in both
ENSMUSG00000047675	Rps8	0.0033436213991769	-0.0330940988835725	False	True	discordant
ENSMUSG00000016554	Eif3d	-0.003060934518735	-0.0265151515151515	False	False	shorten in both
ENSMUSG00000052456	Asna1	-0.0169890873015873	-0.0123422530558308	True	True	shorten in both
ENSMUSG00000029463	Fam216a	0.0017024898914662	-0.0308495990356352	False	False	discordant
ENSMUSG00000004633	Chn2	-0.0252012072434607	-0.0034364261168384	True	True	shorten in both
ENSMUSG00000003531	Dgcr6	-0.0164778282033075	-0.0113282264200357	True	False	shorten in both
ENSMUSG00000001794	Capns1	-0.0225195094760313	-0.0050527996595223	False	True	shorten in both
ENSMUSG00000020184	Mdm2	-0.0277777777777777	0.0005910165484633	True	False	discordant
ENSMUSG00000070424	Art5	0.0076117982873453	-0.0344934311424822	False	True	discordant
ENSMUSG00000052428	Tmco1	-0.0196078431372549	-0.0072202166064981	False	False	shorten in both
ENSMUSG00000021606	Ndufs6	-0.0107126943472212	-0.015444310352729	True	True	shorten in both
ENSMUSG00000027133	Nop10	-0.016157358623112	-0.0096843164381838	False	False	shorten in both
ENSMUSG00000040883	Tmem205	-0.0214728367379366	-0.0043617254037583	True	False	shorten in both
ENSMUSG00000063412	Gm10131	-0.0050718954248366	-0.0196481861677834	True	False	shorten in both
ENSMUSG00000030595	Nfkbib	-0.0083864871249704	-0.0160076594886955	False	True	shorten in both
ENSMUSG00000039041	Adrm1	-0.0240641711229946	0.0	True	False	delta 0 in one mouse
ENSMUSG00000030867	Plk1	-0.0095940550133096	-0.0143243474940185	False	True	shorten in both
ENSMUSG00000003604	Aven	0.0	-0.0233731133063057	False	False	delta 0 in one mouse
ENSMUSG00000002833	Hdgfl2	0.0013243614338159	-0.0246877722916061	False	True	discordant
ENSMUSG00000056124	B4galt6	-0.0237184417051073	0.0006226650062266	True	False	discordant
ENSMUSG00000060743	H3f3a	-0.0232606121497004	0.0002672367717797	True	False	discordant
ENSMUSG00000030611	Mrps11	-0.0069655909809979	-0.0159491525423728	False	True	shorten in both
ENSMUSG00000052221	Ppp1r36	-0.0227168117153033	0.0	True	False	delta 0 in one mouse
ENSMUSG00000049353	Rd3	-0.0222222222222222	0.0	True	False	delta 0 in one mouse
ENSMUSG00000006057	Atp5g1	-0.0176406344238512	-0.004492231844572	True	True	shorten in both
ENSMUSG00000068240	Gm11808	-0.0217381459173044	0.0	False	False	delta 0 in one mouse
ENSMUSG00000003033	Ap1m1	0.003193612774451	-0.024848023359722	False	True	discordant
ENSMUSG00000056076	Eif3b	-0.0191677397115883	-0.0023254305101241	True	False	shorten in both
ENSMUSG00000031728	Zfp821	0.002183406113537	-0.0235617039964866	False	False	discordant
ENSMUSG00000033055	Ankrd54	0.0	-0.0213490043149361	False	True	delta 0 in one mouse
ENSMUSG00000064264	Zfp428	-0.0333785862974025	0.0123456790123457	False	False	discordant
ENSMUSG00000039016	Timm8b	-0.0175695461200585	-0.0033776176536816	True	True	shorten in both
ENSMUSG00000100626	H2al1a	0.0046085858585859	-0.0252387545407956	False	False	discordant
ENSMUSG00000039831	Arhgap29	-0.0063948840927258	-0.0142348754448398	False	True	shorten in both
ENSMUSG00000090827	Gm8297	-0.040006273033796	0.0201729106628242	False	False	discordant
ENSMUSG00000037716	Ccdc33	-0.010321797207043	-0.009090909090909	False	False	shorten in both
ENSMUSG00000010607	Pigyl	0.0069002123142251	-0.0263115879554236	False	True	discordant
ENSMUSG00000042189	Tekt3	-0.0074451500057036	-0.0118558466016093	False	True	shorten in both
ENSMUSG00000009863	Sdhb	-0.0203059986130373	0.0011481056257175	False	False	discordant
ENSMUSG00000004264	Phb2	-0.0098039215686274	-0.0092355782892867	True	False	shorten in both
ENSMUSG00000028458	Tesk1	-0.0201440929134237	0.0011389521640091	True	False	discordant
ENSMUSG00000074764	Sel1l2	-0.0167077773385968	-0.0021104742053152	True	False	shorten in both
ENSMUSG00000003814	Calr	-0.0204759939468976	0.0016771488469601	True	False	discordant
ENSMUSG00000031233	Pgk2	-0.0307017543859649	0.0120388192001651	True	False	discordant
ENSMUSG00000025503	Taldo1	-0.0055541465197269	-0.0129543191316752	False	False	shorten in both
ENSMUSG00000000579	Dynlt1c	-0.0178074687062559	-0.0004651651027376	False	False	shorten in both
ENSMUSG00000031727	Pmfbp1	-0.0025906735751295	-0.0147852147852147	False	True	shorten in both
ENSMUSG00000033047	Eif3l	-0.0058193459593692	-0.0114483191957273	False	True	shorten in both
ENSMUSG00000005699	Pard6a	-0.0130365139670321	-0.0041597337770382	True	False	shorten in both
ENSMUSG00000027327	1700037H04Rik	-0.0133333333333333	-0.0036109406667782	True	False	shorten in both
ENSMUSG00000029134	Plb1	-0.0099009900990099	-0.0069444444444444	False	False	shorten in both
ENSMUSG00000036463	4930544G11Rik	-0.0062632804191439	-0.0102751160228372	False	False	shorten in both
ENSMUSG00000024729	Ms4a20	-0.0139738445706092	-0.0024095524095523	False	False	shorten in both
ENSMUSG00000028294	Cfap206	-0.0031463657484235	-0.0131037780966045	False	False	shorten in both
ENSMUSG00000029614	Rpl6	0.0046053237542599	-0.0203920578301083	False	False	discordant
ENSMUSG00000002031	Ift46	0.030755449387877	-0.0464648080116278	False	False	discordant
ENSMUSG00000050608	Micos10	0.0	-0.0156800131007942	False	False	delta 0 in one mouse
ENSMUSG00000028691	Prdx1	0.005420054200542	-0.0210297506809134	False	True	discordant
ENSMUSG00000046111	Cep295	0.0062289562289562	-0.0217391304347826	False	True	discordant
ENSMUSG00000024038	Ndufv3	-0.0171315859460418	0.0018658439711071	False	False	discordant
ENSMUSG00000078193	Gm2000	-0.0137569341412986	-0.0012062726176115	False	False	shorten in both
ENSMUSG00000004455	Ppp1cc	-0.0131337031698852	-0.0016324275459846	False	True	shorten in both
ENSMUSG00000034501	Pcnx4	-0.0061349693251533	-0.0086206896551724	False	False	shorten in both
ENSMUSG00000034201	Gas2l1	0.0	-0.0147058823529411	False	False	delta 0 in one mouse
ENSMUSG00000045659	Plekha7	-0.0159801546094381	0.0014297385620914	False	False	discordant
ENSMUSG00000024772	Ehd1	-0.0078125	-0.0067180058769885	True	True	shorten in both
ENSMUSG00000029206	Nsun7	-0.0044213465715172	-0.009858601728201	False	True	shorten in both
ENSMUSG00000062619	2310039H08Rik	-0.0069313169502205	-0.0070866141732283	False	True	shorten in both
ENSMUSG00000084135	Pom121l12	-0.0039884294938495	-0.0092833271444485	False	True	shorten in both
ENSMUSG00000020075	Ddx21	-0.0019366845849354	-0.0106544901065449	False	True	shorten in both
ENSMUSG00000041453	Rpl21	-0.0002445735749294	-0.0121634388285308	False	False	shorten in both
ENSMUSG00000018565	Elp5	-0.0171110148466112	0.004811774695726	True	False	discordant
ENSMUSG00000056899	Immp2l	0.0040106951871657	-0.0161818589695655	False	False	discordant
ENSMUSG00000095789	Nupr1l	-0.0122699386503067	0.0004373423044575	True	False	discordant
ENSMUSG00000067702	Tuba3a	-0.015249243510113	0.0037320762129248	False	False	discordant
ENSMUSG00000030335	Mrpl51	-0.0267558528428093	0.0152868771093905	True	False	discordant
ENSMUSG00000032294	Pkm	-0.0133232995262446	0.0019393939393939	True	False	discordant
ENSMUSG00000024158	Hagh	0.0012158623269734	-0.0125393344343356	False	True	discordant
ENSMUSG00000054312	Mrps21	-0.0032051282051282	-0.0079840319361277	False	True	shorten in both
ENSMUSG00000078765	U2af1l4	0.0187353629976581	-0.0298507462686566	False	True	discordant
ENSMUSG00000029346	Srrd	-0.0064137481299628	-0.0046684962581141	False	True	shorten in both
ENSMUSG00000051648	Kctd19	-0.0139741192858976	0.0029175784099197	False	False	discordant
ENSMUSG00000028730	Cfap57	-0.0122530521642619	0.0012562814070351	False	False	discordant
ENSMUSG00000039209	Rpl39l	-0.0028585040495474	-0.0080183276059564	True	True	shorten in both
ENSMUSG00000025372	Baiap2	-0.0052115874007588	-0.0055880699666037	True	False	shorten in both
ENSMUSG00000033213	AA467197	-0.012258064516129	0.0015021235545587	False	False	discordant
ENSMUSG00000028234	Rps20	0.0008540010132149	-0.0113636363636363	False	True	discordant
ENSMUSG00000040904	Gm21988	-0.0130689272378645	0.0026041666666666	True	False	discordant
ENSMUSG00000053868	Gm5142	-0.004	-0.0064412238325281	False	False	shorten in both
