set	truth	shift	n	median_d	modal_10bp_bin_lo	frac_within_10	frac_within_25	bin_lo	bin_width_bp	pct_of_calls	source	panel
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	280	20	0.180000	results/paramsweep/leadB/dist_m1_tier2.txt	f
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	-200	20	0.280000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	-180	20	0.310000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	-160	20	0.140000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	-140	20	0.350000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	-120	20	0.490000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	-100	20	0.490000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	-80	20	0.590000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	-60	20	1.040000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	-40	20	1.280000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	-20	20	27.850000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	0	20	41.240000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	20	20	1.600000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	40	20	0.730000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	60	20	0.660000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	80	20	0.450000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	100	20	0.660000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	120	20	0.140000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	140	20	0.550000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	160	20	0.310000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	180	20	0.310000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	200	20	0.170000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	220	20	0.240000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	240	20	0.280000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	260	20	0.100000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	0	2883	0	0	0.631600	0.703800	280	20	0.210000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	-200	20	0.420000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	-180	20	0.490000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	-160	20	0.550000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	-140	20	0.660000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	-120	20	2.390000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	-100	20	44.290000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	-80	20	4.990000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	-60	20	3.540000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	-40	20	4.230000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	-20	20	4.610000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	0	20	4.020000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	20	20	3.230000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	40	20	1.630000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	60	20	1.600000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	80	20	1.460000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	100	20	0.310000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	120	20	0.420000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	140	20	0.240000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	160	20	0.170000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	180	20	0.070000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	200	20	0.380000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	220	20	0.210000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	240	20	0.210000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	260	20	0.140000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_default_tier1	atlas	95	2883	-91	-100	0.048200	0.111700	280	20	0.280000	results/paramsweep/leadB/dist_pbmc_default.txt	g
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	-200	20	0.490000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	-180	20	0.350000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	-160	20	0.360000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	-140	20	0.490000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	-120	20	0.730000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	-100	20	0.620000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	-80	20	0.590000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	-60	20	0.730000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	-40	20	1.040000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	-20	20	1.610000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	0	20	1.630000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	20	20	0.690000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
pbmc_tier2_toolshift95	atlas	0	5771	3	-10	0.022200	0.036900	40	20	0.750000	results/paramsweep/leadB/dist_pbmc_tier2_tool95.txt	f_annotation
