branch	dataset_id	max_gene_distance	utr_multiplier	include_extended	method	resolution	n_neighbors	min_read	min_cells	min_pas_per_cell	final_cells	final_pas	input_pas	annotated_pas	n_clusters	pas_retention
A2_trim_d3000_ext	GSM3516665-StageIVprimary	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3659	35829	115386	89863	15	0.310514
A2_trim_d3000_ext	GSM3516670-StageIB	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1046	26394	102294	77359	13	0.258021
A2_trim_d3000_ext	GSM3516667-StageIA	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4170	20293	91160	65911	13	0.222609
A2_trim_d3000_ext	GSM3516671-MetBrain	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1277	33435	113139	87174	13	0.295521
A2_trim_d3000_ext	GSM3516663-StageIA	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4657	32168	113082	82972	14	0.284466
A2_trim_d3000_ext	GSM3516675-Normal	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	2661	27567	106586	76176	15	0.258636
A2_trim_d3000_ext	GSM3516673-Normal	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3979	25978	100293	76638	17	0.259021
A2_trim_d3000_ext	GSM3516676-Normal	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3315	33173	115076	84190	16	0.288270
A2_trim_d3000_ext	GSM3516677-MetAdrenal	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	2957	26995	104504	75134	13	0.258315
A2_trim_d3000_ext	GSM3516672-StageIB	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4252	40611	126877	93655	17	0.320082
A2_trim_d3000_ext	GSM3516678-MetBrain	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3246	16102	82043	57973	16	0.196263
