symbol	m1_delta	m2_delta	m1_mono	m2_mono	m1_npas	m2_npas	m1_wdi_Spermatocyte	m2_wdi_Spermatocyte	m1_wdi_RoundSpermatid	m2_wdi_RoundSpermatid	m1_wdi_Elongating	m2_wdi_Elongating	mean_delta
Kif27	-0.3705584401068921	-0.2723055283450128	True	True	5	6	0.8419023136246787	0.8768115942028986	0.5872667398463227	0.6931002759889605	0.4713438735177865	0.6045060658578857	-0.3214319842259525
Trappc6a	-0.2530393781062826	-0.3894639482044477	True	True	2	2	0.8169491525423729	0.8462540716612378	0.751188589540412	0.7932232841007819	0.5639097744360902	0.4567901234567901	-0.3212516631553651
Nkiras2	-0.4448699979235264	-0.1974413801355787	True	True	3	2	0.85148764498235	0.8894767783656673	0.7822494669509595	0.8049293657950105	0.4066176470588235	0.6920353982300885	-0.3211556890295526
Dcun1d4	-0.330217294018199	-0.3103143960286817	True	True	2	3	0.3361344537815126	0.3265306122448979	0.0338747099767981	0.0368995633187772	0.0059171597633136	0.0162162162162162	-0.3202658450234403
Clec4g	-0.2309391889595159	-0.4070242656449553	True	False	2	2	0.5186104218362283	0.5551724137931034	0.4956521739130435	0.5708418891170431	0.2876712328767123	0.1481481481481481	-0.3189817273022356
Impad1	-0.2204365079365079	-0.4082145816412755	True	True	3	4	0.2222222222222222	0.4105691056910568	0.0100286532951289	0.0049122807017543	0.0017857142857142	0.0023545240497813	-0.3143255447888917
Ap2a2	-0.2929292929292929	-0.334508952794357	False	True	2	2	0.3333333333333333	0.3608247422680412	0.027431421446384	0.0303163444639718	0.0404040404040404	0.0263157894736842	-0.3137191228618249
Tmbim6	-0.2458869623798886	-0.3807457928084264	True	True	3	2	0.9615732368896924	0.9441260744985672	0.8448979591836735	0.7957259585166562	0.7156862745098039	0.5633802816901409	-0.3133163775941575
Scamp4	-0.3490834386852086	-0.2768601732653226	True	True	2	3	0.4740834386852086	0.4217877094972067	0.176978417266187	0.1788432267884322	0.125	0.144927536231884	-0.3129718059752656
Gm20517	-0.2149270482603816	-0.3990406578346277	True	True	2	2	0.2272727272727272	0.4090909090909091	0.0188679245283018	0.074074074074074	0.0123456790123456	0.0100502512562814	-0.3069838530475046
Clk4	-0.2282571565211451	-0.38536866359447	True	True	2	2	0.959349593495935	0.9821428571428572	0.9169054441260746	0.9100671140939596	0.7310924369747899	0.5967741935483871	-0.3068129100578075
Fam53c	-0.2948263118994826	-0.3168273444347064	True	True	2	2	0.3	0.3214285714285714	0.1286173633440514	0.1426463354648303	0.0051736881005173	0.004601226993865	-0.3058268281670945
Polr1d	-0.2889938706122912	-0.322033026701474	True	True	2	2	0.8174974335576594	0.8259700345754898	0.7604635074368731	0.7637211072006088	0.5285035629453682	0.5039370078740157	-0.3055134486568826
Vmp1	-0.3237747980867247	-0.2794677857290444	True	True	2	2	0.4015525758645025	0.3313708999158957	0.2116689280868385	0.2145305003427005	0.0777777777777777	0.0519031141868512	-0.3016212919078845
Gabpb1	-0.5851974592653963	-0.0174022698612863	True	False	2	2	0.6274509803921569	0.9846153846153848	0.0985221674876847	0.9596774193548387	0.0422535211267605	0.9672131147540984	-0.3012998645633413
Zfp558	-0.3202835188129306	-0.2819418089816572	True	True	2	2	0.3423423423423423	0.3088235294117647	0.0912476722532588	0.0884861407249466	0.0220588235294117	0.0268817204301075	-0.3011126638972939
Eif4b	-0.3592954990215264	-0.2410995197880445	True	True	3	4	0.7831050228310502	0.8825136612021859	0.461439588688946	0.6439024390243903	0.4238095238095238	0.6414141414141413	-0.3001975094047855
Zfp933	-0.2078115682766844	-0.3876811594202898	False	False	2	2	0.8589743589743589	0.75	0.4484304932735426	0.3333333333333333	0.6511627906976745	0.3623188405797101	-0.2977463638484872
Rbl2	-0.4618931559185824	-0.1330394710478862	True	True	2	2	0.4680851063829787	0.1428571428571428	0.1377974543442169	0.1272114574557708	0.0061919504643962	0.0098176718092566	-0.2974663134832343
Csnk1g2	-0.4102944686267601	-0.1814200926462073	True	True	2	2	0.4323040380047506	0.1818181818181818	0.1083499005964214	0.0433646812957157	0.0220095693779904	0.0003980891719745	-0.2958572806364837
Efr3a	-0.3654810761513908	-0.2185233798195242	True	True	3	5	0.7674418604651163	0.7373913043478261	0.582089552238806	0.705281514698555	0.4019607843137255	0.5188679245283019	-0.2920022279854575
Sh2b3	-0.2784245818288998	-0.3055619796484736	True	True	2	2	0.5589123867069486	0.4930619796484736	0.5085324232081911	0.3518518518518518	0.2804878048780488	0.1875	-0.2919932807386867
Pknox1	-0.2729299363057325	-0.3035194152242073	True	True	3	3	0.8	0.8123689727463312	0.6453900709219859	0.612796833773087	0.5270700636942676	0.5088495575221239	-0.2882246757649699
Ppp2r5e	-0.2616136386422385	-0.3105046728971963	True	True	2	2	0.8715427166564229	0.8785046728971962	0.8110014104372355	0.8102084831056794	0.6099290780141844	0.568	-0.2860591557697174
Mlf1	-0.3155219619116066	-0.254711811006911	True	True	2	2	0.8949597628123677	0.929737753587333	0.8521281555984813	0.8939998599733949	0.579437800900761	0.675025942580422	-0.2851168864592588
Oxr1	-0.3805091998288404	-0.1882572227399813	False	False	3	5	0.902439024390244	0.9540229885057472	0.5021786492374728	0.6847103513770181	0.5219298245614035	0.7657657657657657	-0.2843832112844109
Pole3	-0.233230173238273	-0.3304192827012472	False	True	2	2	0.2515986227250369	0.343875968992248	0.0177887246852764	0.0287696733795904	0.0183684494867639	0.0134566862910008	-0.2818247279697601
Plb1	-0.3625730994152046	-0.1997378503730591	True	True	2	2	0.9736842105263158	0.9482758620689656	0.822429906542056	0.829004329004329	0.6111111111111112	0.7485380116959064	-0.2811554748941319
Gm44503	-0.190814153656328	-0.367551125925437	True	True	3	2	0.8143153526970954	0.6602972399150743	0.6888753056234719	0.4343090537780803	0.6235011990407674	0.2927461139896373	-0.2791826397908825
Mcl1	-0.2693293979497921	-0.2812720225510923	True	True	3	3	0.5456790123456791	0.571969696969697	0.4116719242902208	0.4141494435612082	0.2763496143958869	0.2906976744186046	-0.2753007102504422
Tmem30a	-0.1620995115489693	-0.386684649858754	True	True	2	3	0.2684824902723735	0.3979206049149338	0.138755980861244	0.196870925684485	0.1063829787234042	0.0112359550561797	-0.2743920807038617
Xk	-0.3745829858215179	-0.1718524920772112	False	False	2	2	0.9541284403669724	0.935897435897436	0.965174129353234	0.9487179487179488	0.5795454545454546	0.7640449438202247	-0.2732177389493646
Pcyt1a	-0.1856606162243925	-0.3568464730290456	True	True	3	2	0.6684587813620072	0.3568464730290456	0.5126315789473684	0.0298969072164948	0.4827981651376147	0.0	-0.2712535446267191
