panel	record	gsm	stage_label	stage_group	plot_position	metric	value
-	source	GSM3516674-StageIA	StageIA	Stage I–II		ARI_gexleiden_vs_pas	0.6311
-	source	GSM3516675-Normal	Normal	Normal		pas_cells	2660.0
-	source	GSM3516675-Normal	Normal	Normal		gex_cells	2312.0
-	source	GSM3516675-Normal	Normal	Normal		matched_cells	2312.0
-	source	GSM3516675-Normal	Normal	Normal		n_gex_clusters	17.0
-	source	GSM3516675-Normal	Normal	Normal		AMI_gexleiden_vs_pas	0.6544
-	source	GSM3516675-Normal	Normal	Normal		ARI_gexleiden_vs_pas	0.4227
-	source	GSM3516676-Normal	Normal	Normal		pas_cells	3315.0
-	source	GSM3516676-Normal	Normal	Normal		gex_cells	2792.0
-	source	GSM3516676-Normal	Normal	Normal		matched_cells	2792.0
-	source	GSM3516676-Normal	Normal	Normal		n_gex_clusters	19.0
-	source	GSM3516676-Normal	Normal	Normal		AMI_gexleiden_vs_pas	0.6931
-	source	GSM3516676-Normal	Normal	Normal		ARI_gexleiden_vs_pas	0.5586
-	source	GSM3516677-MetAdrenal	MetAdrenal	Metastasis		pas_cells	2946.0
-	source	GSM3516677-MetAdrenal	MetAdrenal	Metastasis		gex_cells	2236.0
-	source	GSM3516677-MetAdrenal	MetAdrenal	Metastasis		matched_cells	2236.0
-	source	GSM3516677-MetAdrenal	MetAdrenal	Metastasis		n_gex_clusters	17.0
-	source	GSM3516677-MetAdrenal	MetAdrenal	Metastasis		AMI_gexleiden_vs_pas	0.6834
-	source	GSM3516677-MetAdrenal	MetAdrenal	Metastasis		ARI_gexleiden_vs_pas	0.613
-	source	GSM3516678-MetBrain	MetBrain	Metastasis		pas_cells	3241.0
-	source	GSM3516678-MetBrain	MetBrain	Metastasis		gex_cells	1481.0
-	source	GSM3516678-MetBrain	MetBrain	Metastasis		matched_cells	1481.0
-	source	GSM3516678-MetBrain	MetBrain	Metastasis		n_gex_clusters	16.0
-	source	GSM3516678-MetBrain	MetBrain	Metastasis		AMI_gexleiden_vs_pas	0.7202
-	source	GSM3516678-MetBrain	MetBrain	Metastasis		ARI_gexleiden_vs_pas	0.4997
a	summary					median_AMI_celltype_vs_pas	0.6616
a	summary					median_ARI_celltype_vs_pas	0.4627
a	summary					min_AMI_celltype_vs_pas	0.3667
a	summary					max_AMI_celltype_vs_pas	0.7795
a	summary					min_ARI_celltype_vs_pas	0.2002
a	summary					max_ARI_celltype_vs_pas	0.6705
a	summary					kruskal_H_AMI_by_stage_3groups	3.835714285714289
a	summary					kruskal_p_AMI_by_stage_3groups	0.14692145674451634
-	summary					kruskal_H_ARI_by_stage_3groups	3.317331932773108
-	summary					kruskal_p_ARI_by_stage_3groups	0.19039280115746995
-	summary					mannwhitney_U_AMI_Normal_vs_Met	11.0
-	summary					mannwhitney_p_AMI_Normal_vs_Met	0.9047619047619049
-	summary					median_AMI_gexleiden_vs_pas	0.6565
-	summary					median_ARI_gexleiden_vs_pas	0.4564
b	summary					n_samples_pas_gt_celltypes	12.0
b	summary					n_samples_pas_eq_celltypes	2.0
b	summary					n_samples_pas_lt_celltypes	3.0
b	summary					mean_n_pas_clusters	14.117647058823529
b	summary					mean_n_celltypes	12.529411764705882
b	summary					median_n_pas_clusters	15.0
b	summary					median_n_celltypes	14.0
b	summary					mean_n_pas_clusters_full_clustering	14.823529411764707
b	summary					spearman_rho_ncelltypes_vs_npas	0.5836061241405657
b	summary					spearman_p_ncelltypes_vs_npas	0.01391539943241359
c	summary					median_coverage	0.498
c	summary					min_coverage	0.2739
c	summary					max_coverage	0.8692
c	summary					n_samples_coverage_below_0.5	9.0
c	summary					spearman_rho_coverage_vs_AMI	-0.3382352941176471
c	summary					spearman_p_coverage_vs_AMI	0.18421188285210166
c	summary					spearman_rho_coverage_vs_ARI	-0.12009803921568628
c	summary					spearman_p_coverage_vs_ARI	0.6461426985863066
-	summary					max_abs_coverage_recompute_error	4.974036622029665e-05
-	summary					matched_equals_gex_cells_all_samples	1.0
-	summary					summary_json_agrees_with_csv	1.0
a	summary			Normal		n_samples	4.0
a	summary			Normal		median_AMI_celltype_vs_pas	0.5757
a	summary			Normal		median_ARI_celltype_vs_pas	0.34045000000000003
c	summary			Normal		median_coverage	0.6982999999999999
a	summary			Stage I–II		n_samples	7.0
a	summary			Stage I–II		median_AMI_celltype_vs_pas	0.6826
a	summary			Stage I–II		median_ARI_celltype_vs_pas	0.5445
c	summary			Stage I–II		median_coverage	0.3781
a	summary			Stage IV primary		n_samples	1.0
a	summary			Stage IV primary		median_AMI_celltype_vs_pas	0.7124
a	summary			Stage IV primary		median_ARI_celltype_vs_pas	0.4939
c	summary			Stage IV primary		median_coverage	0.498
a	summary			Metastasis		n_samples	5.0
a	summary			Metastasis		median_AMI_celltype_vs_pas	0.5966
a	summary			Metastasis		median_ARI_celltype_vs_pas	0.3719
c	summary			Metastasis		median_coverage	0.6735
