panel	dataset	version	arm	ranking	metric	value	note	source_file
d	mouse1	v2	precision_default		R_det@100	0.204790		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse1__precision_default/score_v2__mouse1__precision_default.tsv
d	mouse1	v2	precision_default		null_P@100_mean3	0.013927		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse1__precision_default/score_v2__mouse1__precision_default.tsv
d	mouse2	prime	full		P@100	0.453906		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse2__full/score_prime__mouse2__full.tsv
d	mouse2	prime	full		R_det@100	0.305693		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse2__full/score_prime__mouse2__full.tsv
d	mouse2	prime	full		null_P@100_mean3	0.014816		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse2__full/score_prime__mouse2__full.tsv
d	mouse2	prime	precision_default		P@100	0.757219		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse2__precision_default/score_prime__mouse2__precision_default.tsv
d	mouse2	prime	precision_default		R_det@100	0.208002		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse2__precision_default/score_prime__mouse2__precision_default.tsv
d	mouse2	prime	precision_default		null_P@100_mean3	0.013785		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse2__precision_default/score_prime__mouse2__precision_default.tsv
d	mouse2	shipped	full		P@100	0.367878		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__mouse2__full/score_shipped__mouse2__full.tsv
d	mouse2	shipped	full		R_det@100	0.200930		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__mouse2__full/score_shipped__mouse2__full.tsv
d	mouse2	shipped	full		null_P@100_mean3	0.014332		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__mouse2__full/score_shipped__mouse2__full.tsv
d	mouse2	v1	full		P@100	0.448306		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse2__full/score_v1__mouse2__full.tsv
d	mouse2	v1	full		R_det@100	0.302085		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse2__full/score_v1__mouse2__full.tsv
d	mouse2	v1	full		null_P@100_mean3	0.014102		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse2__full/score_v1__mouse2__full.tsv
d	mouse2	v1	precision_default		P@100	0.755389		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse2__precision_default/score_v1__mouse2__precision_default.tsv
d	mouse2	v1	precision_default		R_det@100	0.204853		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse2__precision_default/score_v1__mouse2__precision_default.tsv
d	mouse2	v1	precision_default		null_P@100_mean3	0.014333		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse2__precision_default/score_v1__mouse2__precision_default.tsv
d	mouse2	v2	full		P@100	0.453906		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse2__full/score_v2__mouse2__full.tsv
d	mouse2	v2	full		R_det@100	0.305693		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse2__full/score_v2__mouse2__full.tsv
d	mouse2	v2	full		null_P@100_mean3	0.014816		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse2__full/score_v2__mouse2__full.tsv
d	mouse2	v2	precision_default		P@100	0.757219		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse2__precision_default/score_v2__mouse2__precision_default.tsv
d	mouse2	v2	precision_default		R_det@100	0.208002		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse2__precision_default/score_v2__mouse2__precision_default.tsv
d	mouse2	v2	precision_default		null_P@100_mean3	0.013785		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse2__precision_default/score_v2__mouse2__precision_default.tsv
e	mouse1	prime	matched_molref_N26263	molref	P@100	0.745001		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__matched_molref_N26263/score_prime__mouse1__matched_molref_N26263.tsv
e	mouse1	prime	matched_molref_N26263	molref	R_det@100	0.204790		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__matched_molref_N26263/score_prime__mouse1__matched_molref_N26263.tsv
e	mouse1	prime	matched_molref_N26263	molref	n_scored	26255.000000		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__matched_molref_N26263/score_prime__mouse1__matched_molref_N26263.tsv
e	mouse1	prime	matched_molref_N26263	molref	rank_n_kept_at_cut_value	6555.000000		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/matched_reports/prime__mouse1__matched_molref_N26263.txt
e	mouse1	prime	matched_molref_N26263	molref	rank_n_tied_at_cut_value	6555.000000		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/matched_reports/prime__mouse1__matched_molref_N26263.txt
e	mouse1	prime	matched_molref_N26263	molref	rank_n_written	26263.000000		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/matched_reports/prime__mouse1__matched_molref_N26263.txt
e	mouse1	prime	matched_umi_N45921	umi	P@100	0.511740		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__matched_umi_N45921/score_prime__mouse1__matched_umi_N45921.tsv
