method	perm	pair	pas_id	pvalue	qvalue
fisher	2	Met_vs_StageI	8573	1.0283341684036532e-06	2.6779412435785515e-06
fisher	2	Met_vs_StageI	8572	1.0283341684036532e-06	2.6779412435785515e-06
fisher	2	Met_vs_StageI	42313	1.1476891043908078e-06	2.6779412435785515e-06
fisher	2	Met_vs_StageI	42315	1.1476891043908078e-06	2.6779412435785515e-06
fisher	2	Met_vs_StageI	10442	0.0578633130116629	0.0892643608006887
fisher	2	Met_vs_StageI	10438	0.0578633130116629	0.0892643608006887
fisher	2	Met_vs_StageI	169780	0.0637602577147776	0.0892643608006887
fisher	2	Met_vs_StageI	169791	0.0637602577147776	0.0892643608006887
fisher	2	Met_vs_StageI	107151	0.4590698104162836	0.4590698104162836
fisher	2	Met_vs_StageI	107149	0.4590698104162836	0.4590698104162836
fisher	2	Met_vs_StageI	246969	0.4314921841914833	0.4590698104162836
fisher	2	Met_vs_StageI	246961	0.4314921841914833	0.4590698104162836
fisher	2	Normal_vs_StageI	246961	5.6219015053038486e-11	3.9353310537126943e-10
fisher	2	Normal_vs_StageI	246969	5.6219015053038486e-11	3.9353310537126943e-10
fisher	2	Normal_vs_StageI	8573	2.178292060964628e-06	7.624022213376197e-06
fisher	2	Normal_vs_StageI	8572	2.178292060964628e-06	7.624022213376197e-06
fisher	2	Normal_vs_StageI	10438	0.000457413296307	0.0010672976913831
fisher	2	Normal_vs_StageI	10442	0.000457413296307	0.0010672976913831
fisher	2	Normal_vs_StageI	169780	0.0024680790507589	0.0043191383388281
fisher	2	Normal_vs_StageI	169791	0.0024680790507589	0.0043191383388281
fisher	2	Normal_vs_StageI	136639	0.009052079767577	0.0126729116746078
fisher	2	Normal_vs_StageI	136629	0.009052079767577	0.0126729116746078
fisher	2	Normal_vs_StageI	42313	0.6494465536816629	0.7576876459619402
fisher	2	Normal_vs_StageI	42315	0.6494465536816629	0.7576876459619402
fisher	2	Normal_vs_StageI	107149	0.9079762358042636	0.9079762358042636
fisher	2	Normal_vs_StageI	107151	0.9079762358042636	0.9079762358042636
fisher	3	IVprimary_vs_Met	16834	9.22524547729862e-05	0.0008302720929568
fisher	3	IVprimary_vs_Met	16811	9.225245477298622e-05	0.0008302720929568
fisher	3	IVprimary_vs_Met	52558	0.0015498806898087	0.0069744631041394
fisher	3	IVprimary_vs_Met	52566	0.0015498806898087	0.0069744631041394
fisher	3	IVprimary_vs_Met	21302	0.012805695939344	0.038417087818032
fisher	3	IVprimary_vs_Met	21353	0.012805695939344	0.038417087818032
fisher	3	IVprimary_vs_Met	299499	0.0938225930757695	0.2111008344204814
fisher	3	IVprimary_vs_Met	299505	0.0938225930757695	0.2111008344204814
fisher	3	IVprimary_vs_Met	251386	0.1896829083149767	0.3132536099020996
fisher	3	IVprimary_vs_Met	251394	0.1896829083149767	0.3132536099020996
fisher	3	IVprimary_vs_Met	214607	0.2088357399347331	0.3132536099020996
fisher	3	IVprimary_vs_Met	214589	0.2088357399347331	0.3132536099020996
fisher	3	IVprimary_vs_Met	273194	0.4701395122594212	0.5289069512918488
fisher	3	IVprimary_vs_Met	273197	0.4701395122594212	0.5289069512918488
fisher	3	IVprimary_vs_Met	433	0.4587889140419868	0.5289069512918488
fisher	3	IVprimary_vs_Met	437	0.4587889140419868	0.5289069512918488
fisher	3	IVprimary_vs_Met	49240	0.6500140738881335	0.6500140738881335
fisher	3	IVprimary_vs_Met	49266	0.6500140738881335	0.6500140738881335
fisher	3	IVprimary_vs_Normal	16834	1.763065187386184e-06	1.5867586686475655e-05
fisher	3	IVprimary_vs_Normal	16811	1.763065187386184e-06	1.5867586686475655e-05
fisher	3	IVprimary_vs_Normal	52558	9.649936086910575e-06	4.342471239109759e-05
fisher	3	IVprimary_vs_Normal	52566	9.649936086910575e-06	4.342471239109759e-05
fisher	3	IVprimary_vs_Normal	251386	0.0026096679514476	0.007829003854343
fisher	3	IVprimary_vs_Normal	251394	0.0026096679514476	0.007829003854343
fisher	3	IVprimary_vs_Normal	214607	0.0148068775945025	0.0333154745876308
fisher	3	IVprimary_vs_Normal	214589	0.0148068775945025	0.0333154745876308
fisher	3	IVprimary_vs_Normal	437	0.0709743067879145	0.1277537522182461
fisher	3	IVprimary_vs_Normal	433	0.0709743067879145	0.1277537522182461
fisher	3	IVprimary_vs_Normal	49266	0.1281273247163474	0.1921909870745211
fisher	3	IVprimary_vs_Normal	49240	0.1281273247163474	0.1921909870745211
fisher	3	IVprimary_vs_Normal	21302	0.2975193423092965	0.3825248686833813
fisher	3	IVprimary_vs_Normal	21353	0.2975193423092965	0.3825248686833813
fisher	3	IVprimary_vs_Normal	299505	0.3517440922331514	0.3957121037622953
fisher	3	IVprimary_vs_Normal	299499	0.3517440922331514	0.3957121037622953
fisher	3	IVprimary_vs_Normal	273197	1.0	1.0
fisher	3	IVprimary_vs_Normal	273194	1.0	1.0
fisher	3	IVprimary_vs_StageI	16834	0.0003992736685359	0.0017967315084117
fisher	3	IVprimary_vs_StageI	16811	0.0003992736685359	0.0017967315084117
fisher	3	IVprimary_vs_StageI	52558	0.0003943986813085	0.0017967315084117
fisher	3	IVprimary_vs_StageI	52566	0.0003943986813085	0.0017967315084117
fisher	3	IVprimary_vs_StageI	214607	0.0281891129326418	0.0845673387979254
fisher	3	IVprimary_vs_StageI	214589	0.0281891129326418	0.0845673387979254
fisher	3	IVprimary_vs_StageI	251386	0.2240406832997037	0.5040915374243333
fisher	3	IVprimary_vs_StageI	251394	0.2240406832997037	0.5040915374243333
fisher	3	IVprimary_vs_StageI	273197	0.387888204034194	0.6850868326921804
fisher	3	IVprimary_vs_StageI	273194	0.387888204034194	0.6850868326921804
fisher	3	IVprimary_vs_StageI	437	0.4567245551281202	0.6850868326921804
fisher	3	IVprimary_vs_StageI	433	0.4567245551281202	0.6850868326921804
fisher	3	IVprimary_vs_StageI	49266	0.6969625658006979	0.8960947274580403
fisher	3	IVprimary_vs_StageI	49240	0.6969625658006979	0.8960947274580403
fisher	3	IVprimary_vs_StageI	21353	0.8540459194003214	0.9608016593253615
fisher	3	IVprimary_vs_StageI	21302	0.8540459194003214	0.9608016593253615
fisher	3	IVprimary_vs_StageI	299499	1.0	1.0
fisher	3	IVprimary_vs_StageI	299505	1.0	1.0
fisher	3	Met_vs_Normal	214607	5.258295318488656e-12	4.7324657866397896e-11
fisher	3	Met_vs_Normal	214589	5.258295318488656e-12	4.7324657866397896e-11
fisher	3	Met_vs_Normal	251394	0.0003442084811189	0.0015489381650354
fisher	3	Met_vs_Normal	251386	0.0003442084811189	0.0015489381650354
fisher	3	Met_vs_Normal	52566	0.0017243490718956	0.0031038283294122
fisher	3	Met_vs_Normal	52558	0.0017243490718956	0.0031038283294122
fisher	3	Met_vs_Normal	49240	0.0016827660144032	0.0031038283294122
fisher	3	Met_vs_Normal	49266	0.0016827660144032	0.0031038283294122
fisher	3	Met_vs_Normal	299499	0.0014726820542827	0.0031038283294122
fisher	3	Met_vs_Normal	299505	0.0014726820542827	0.0031038283294122
fisher	3	Met_vs_Normal	21302	0.0050806627841296	0.0076209941761944
fisher	3	Met_vs_Normal	21353	0.0050806627841296	0.0076209941761944
fisher	3	Met_vs_Normal	273194	0.0930751369571263	0.119668033230591
fisher	3	Met_vs_Normal	273197	0.0930751369571263	0.119668033230591
