symbol	m1_delta	m2_delta	m1_mono	m2_mono	m1_npas	m2_npas	m1_wdi_Spermatocyte	m2_wdi_Spermatocyte	m1_wdi_RoundSpermatid	m2_wdi_RoundSpermatid	m1_wdi_Elongating	m2_wdi_Elongating	mean_delta
Cant1	-0.4414550623505847	-0.6207703860765085	True	True	2	2	0.7652645861601085	0.7419825072886297	0.5614035087719298	0.6019830028328612	0.3238095238095238	0.1212121212121212	-0.5311127242135466
Tbc1d14	-0.3609371694520837	-0.6888410786001147	True	True	3	2	0.8379310344827586	0.6928571428571428	0.5190217391304348	0.0879446640316205	0.4769938650306748	0.0040160642570281	-0.5248891240260992
Cpeb4	-0.6351351351351351	-0.4098360655737705	True	True	2	2	0.6351351351351351	0.4098360655737705	0.0355648535564853	0.0119956379498364	0.0	0.0	-0.5224856003544528
Tbcel	-0.4898956975228162	-0.5469107551487414	True	True	3	3	0.5576923076923077	0.5688405797101449	0.0899280575539568	0.0949367088607595	0.0677966101694915	0.0219298245614035	-0.5184032263357788
Tbc1d1	-0.4619665426263032	-0.5743666169895678	True	True	2	2	0.5603271983640081	0.6727272727272727	0.1229946524064171	0.1524926686217008	0.0983606557377049	0.0983606557377049	-0.5181665798079356
Usp50	-0.5028977513974429	-0.4990001357101232	True	True	2	2	0.9881376037959668	0.9920749279538904	0.638423645320197	0.5949970220369267	0.4852398523985239	0.4930747922437673	-0.500948943553783
Sertad2	-0.4578671334598255	-0.5227673056496216	True	True	2	2	0.8191236779624433	0.7694633408919124	0.6741349971639251	0.570391061452514	0.3612565445026178	0.2466960352422907	-0.4903172195547235
Ppp4r2	-0.6534614783559931	-0.3185185185185185	True	True	2	2	0.7151898734177216	0.3185185185185185	0.0760869565217391	0.0483933410762679	0.0617283950617283	0.0	-0.4859899984372558
Ccdc28a	-0.5711709596875734	-0.3971328942270438	True	True	3	2	0.5957446808510638	0.4224137931034483	0.3455149501661129	0.2626832018038331	0.0245737211634904	0.0252808988764044	-0.4841519269573086
Arrdc3	-0.4474892465323087	-0.52046783625731	True	True	2	2	0.4970760233918128	0.52046783625731	0.1339092872570194	0.1583236321303841	0.0495867768595041	0.0	-0.4839785413948093
Cep104	-0.3815935371455726	-0.586021505376344	True	True	2	2	0.5934579439252337	0.6666666666666666	0.4346666666666666	0.422360248447205	0.211864406779661	0.0806451612903225	-0.4838075212609583
